Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
JW 5056|Боинг-777|120|Сабетта|Сабетта|Псков|Кресты|04.11.2020 0:50:00|04.11.2020 5:08:00|
YI 1075|ИЛ-96|112|Грозный|Северный|Симферополь|Симферополь|04.11.2020 5:08:00|04.11.2020 8:30:00|
CO 4632|Боинг-767|145|Южно - Сахалинск|Хомутово|Нальчик|Нальчик|04.11.2020 21:40:00|05.11.2020 2:08:00|
WA 0775|Аэробус-A310|126|Псков|Кресты|Самара|Самара|04.11.2020 18:04:00|04.11.2020 19:36:00|
HD 9432|Боинг-767|249|Хабаровск|Хабаровск-Новый|Провидения|Бухта Провидения|04.11.2020 20:01:00|04.11.2020 22:15:00|
ZN 4272|ИЛ-86|295|Нижнекамск|Бегишево|Анапа|Витязево|04.11.2020 9:28:00|04.11.2020 14:22:00|
KG 0166|ИЛ-96М|187|Самара|Самара|Москва|Жуковский|04.11.2020 10:32:00|04.11.2020 12:05:00|
JX 8171|Аэробус-A330|270|Ульяновск|Баратаевка|Ростов - на - Дону|Платов|04.11.2020 2:24:00|04.11.2020 6:53:00|
FL 2045|Боинг-777|129|Петрозаводск|Петрозаводск|Курск|Восточный|04.11.2020 22:42:00|05.11.2020 3:33:00|
YS 1049|Аэробус-A330|335|Петропавловск - Камчатский|Елизово|Омск|Омск-Центральный|04.11.2020 0:20:00|04.11.2020 2:20:00|
YX 5899|Боинг-737|96|Варандей|Варандей|Улан - Удэ|Мухино|04.11.2020 23:34:00|05.11.2020 4:33:00|
BH 7049|ИЛ-96-300|227|Южно - Сахалинск|Хомутово|Калининград|Храброво|04.11.2020 7:45:00|04.11.2020 9:22:00|
RL 2911|Боинг-737|49|Магадан|Сокол|Волгоград|Гумрак|04.11.2020 20:46:00|04.11.2020 23:24:00|
QN 1061|ИЛ-96-300|170|Белгород|Белгород|Братск|Братск|04.11.2020 21:33:00|04.11.2020 22:48:00|
EB 4252|Ту-134|79|Сургут|Сургут|Астрахань|Нариманово|04.11.2020 13:12:00|04.11.2020 16:48:00|
XC 8549|ИЛ-62|68|Чебоксары|Чебоксары|Нижневартовск|Нижневартовск|04.11.2020 15:53:00|04.11.2020 19:21:00|
TU 6063|ИЛ-86|119|Белгород|Белгород|Ульяновск|Восточный|04.11.2020 17:06:00|04.11.2020 20:41:00|
JL 6286|Боинг-747|293|Магнитогорск|Магнитогорск|Самара|Самара|04.11.2020 16:31:00|04.11.2020 20:15:00|
NI 9148|ИЛ-86|294|Анадырь|Угольный|Томск|Богашёво|04.11.2020 2:43:00|04.11.2020 5:33:00|
UV 5790|ИЛ-96-300|219|Красноярск|Емельяново|Оренбург|Оренбург-Центральный|04.11.2020 9:38:00|04.11.2020 13:00:00|
QQ 6859|ИЛ-96М|409|Махачкала|Уйташ|Барнаул|Барнаул|04.11.2020 2:53:00|04.11.2020 5:41:00|
NX 7695|ИЛ-96М|263|Майкоп|Майкоп|Анадырь|Угольный|04.11.2020 10:39:00|04.11.2020 14:29:00|
JE 9675|ИЛ-96М|378|Томск|Богашёво|Липецк|Липецк|04.11.2020 6:12:00|04.11.2020 8:01:00|
RY 5874|Боинг-737|74|Варандей|Варандей|Сабетта|Сабетта|04.11.2020 0:41:00|04.11.2020 4:15:00|
CE 1691|Ту-204|196|Липецк|Липецк|Москва|Домодедово|04.11.2020 0:44:00|04.11.2020 3:09:00|
FO 6144|ИЛ-96|144|Москва|Шереметьево|Липецк|Липецк|04.11.2020 21:31:00|04.11.2020 23:26:00|
QC 1548|Боинг-777|82|Сочи|Адлер|Москва|Шереметьево|04.11.2020 15:09:00|04.11.2020 17:30:00|
WQ 3775|Ту-154 |94|Хабаровск|Хабаровск-Новый|Нальчик|Нальчик|04.11.2020 20:59:00|04.11.2020 22:54:00|
GI 9372|Ту-154 |131|Волгоград|Гумрак|Курск|Восточный|04.11.2020 16:50:00|04.11.2020 21:49:00|
RX 2789|Боинг-777|85|Минеральные Воды|Минеральные Воды|Майкоп|Майкоп|04.11.2020 9:40:00|04.11.2020 12:55:00|
PA 8133|ИЛ-96М|189|Курск|Восточный|Самара|Самара|04.11.2020 3:21:00|04.11.2020 7:04:00|
AQ 5976|Боинг-777|197|Москва|Домодедово|Курск|Восточный|04.11.2020 3:06:00|04.11.2020 6:23:00|
BQ 1185|Аэробус-A330|194|Чебоксары|Чебоксары|Саранск|Саранск|04.11.2020 22:01:00|05.11.2020 2:50:00|
PO 8811|ИЛ-96|81|Орск|Орск|Чита|Кадала|04.11.2020 12:29:00|04.11.2020 16:10:00|
ZL 7906|Ту-134|82|Москва|Жуковский|Нижневартовск|Нижневартовск|04.11.2020 1:08:00|04.11.2020 5:14:00|
HJ 4436|Боинг-767|207|Красноярск|Емельяново|Петрозаводск|Петрозаводск|04.11.2020 23:37:00|05.11.2020 1:26:00|
ML 3306|Аэробус-A320|119|Тюмень|Рощино|Ярославль|Туношна|04.11.2020 9:58:00|04.11.2020 13:27:00|
IM 1987|Аэробус-A320|138|Оренбург|Оренбург-Центральный|Сургут|Сургут|04.11.2020 17:05:00|04.11.2020 20:34:00|
BH 9418|ИЛ-62|181|Сабетта|Сабетта|Липецк|Липецк|04.11.2020 10:07:00|04.11.2020 12:44:00|
SD 5760|ИЛ-96М|342|Курск|Восточный|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 14:22:00|04.11.2020 18:22:00|
YM 8496|Сc-100|60|Саратов|Гагарин|Барнаул|Барнаул|04.11.2020 7:22:00|04.11.2020 11:52:00|
HK 7667|Боинг-737|69|Курган|Курган|Воронеж|Чертовицкое|04.11.2020 18:47:00|04.11.2020 20:18:00|
KG 9573|Ту-154 |88|Пермь|Большое Савино|Магадан|Сокол|04.11.2020 0:13:00|04.11.2020 2:52:00|
XB 9732|ИЛ-96|151|Нальчик|Нальчик|Уфа|Уфа|04.11.2020 22:42:00|05.11.2020 0:38:00|
VH 3970|Аэробус-A320|221|Элиста|Элиста|Ростов - на - Дону|Платов|04.11.2020 12:09:00|04.11.2020 14:32:00|
MI 5037|ИЛ-96|84|Челябинск|Баландино|Хабаровск|Хабаровск-Новый|04.11.2020 12:35:00|04.11.2020 16:43:00|
GA 3179|Боинг-747|190|Нальчик|Нальчик|Нижневартовск|Нижневартовск|04.11.2020 1:40:00|04.11.2020 4:53:00|
NH 6824|ИЛ-96М|144|Кемерово|Кемерово|Благовещенск|Игнатьево|04.11.2020 6:27:00|04.11.2020 9:38:00|
YI 9978|ИЛ-86|94|Новосибирск|Толмачёво|Казань|Казань|04.11.2020 10:46:00|04.11.2020 15:35:00|
GI 8484|ИЛ-86|261|Томск|Богашёво|Петропавловск - Камчатский|Елизово|04.11.2020 1:38:00|04.11.2020 2:59:00|
WZ 2317|Ту-204|175|Оренбург|Оренбург-Центральный|Нижневартовск|Нижневартовск|04.11.2020 12:47:00|04.11.2020 14:50:00|
PG 3310|ИЛ-62|176|Калуга|Грабцево|Воронеж|Чертовицкое|04.11.2020 18:16:00|04.11.2020 22:33:00|
RX 4538|Ту-154 |126|Кемерово|Кемерово|Калуга|Грабцево|04.11.2020 6:55:00|04.11.2020 9:13:00|
QX 8739|Ту-134|40|Якутск|Якутск|Екатеринбург|Кольцово|04.11.2020 9:26:00|04.11.2020 12:06:00|
MO 2754|Ту-134|47|Петрозаводск|Петрозаводск|Майкоп|Майкоп|04.11.2020 7:03:00|04.11.2020 8:29:00|
KL 5021|ИЛ-96|164|Архангельск|Талаги|Нижневартовск|Нижневартовск|04.11.2020 0:31:00|04.11.2020 4:47:00|
CU 6150|Ту-154 |154|Уфа|Уфа|Саранск|Саранск|04.11.2020 11:29:00|04.11.2020 15:20:00|
XV 0445|Аэробус-A320|125|Красноярск|Емельяново|Курган|Курган|04.11.2020 15:53:00|04.11.2020 20:33:00|
IQ 5982|ИЛ-62|160|Сабетта|Сабетта|Томск|Богашёво|04.11.2020 15:26:00|04.11.2020 19:36:00|
IM 1790|Аэробус-A310|128|Липецк|Липецк|Омск|Омск-Центральный|04.11.2020 19:36:00|04.11.2020 20:49:00|
FC 5590|ИЛ-62|150|Саратов|Гагарин|Астрахань|Нариманово|04.11.2020 9:55:00|04.11.2020 14:23:00|
UY 9104|Боинг-777|175|Иркутск|Иркутск|Санкт - Петербург|Пулково|04.11.2020 2:30:00|04.11.2020 4:46:00|
GI 3947|ИЛ-86|269|Санкт - Петербург|Пулково|Москва|Жуковский|04.11.2020 4:08:00|04.11.2020 8:41:00|
JT 1597|Боинг-747|116|Тюмень|Рощино|Махачкала|Уйташ|04.11.2020 14:12:00|04.11.2020 17:07:00|
AH 4214|Ту-134|69|Нальчик|Нальчик|Элиста|Элиста|04.11.2020 7:45:00|04.11.2020 11:11:00|
LG 0578|Боинг-777|100|Сыктывкар|Сыктывкар|Томск|Богашёво|04.11.2020 12:39:00|04.11.2020 16:45:00|
AJ 1797|Боинг-737|111|Курган|Курган|Симферополь|Симферополь|04.11.2020 9:24:00|04.11.2020 11:35:00|
ZR 2128|Боинг-737|58|Анапа|Витязево|Красноярск|Емельяново|04.11.2020 1:15:00|04.11.2020 4:39:00|
XU 2689|Аэробус-A320|142|Астрахань|Нариманово|Майкоп|Майкоп|04.11.2020 9:44:00|04.11.2020 10:51:00|
GQ 6386|Ту-204|136|Барнаул|Барнаул|Улан - Удэ|Мухино|04.11.2020 21:38:00|05.11.2020 0:52:00|
KV 4331|ИЛ-96-300|136|Южно - Сахалинск|Хомутово|Нижний Новгород|Стригино|04.11.2020 16:40:00|04.11.2020 21:22:00|
DZ 9678|ИЛ-96|80|Калуга|Грабцево|Сургут|Сургут|04.11.2020 16:38:00|04.11.2020 19:31:00|
PE 1743|Боинг-777|111|Иркутск|Иркутск|Сыктывкар|Сыктывкар|04.11.2020 21:42:00|04.11.2020 22:50:00|
II 7559|Аэробус-A330|409|Екатеринбург|Кольцово|Махачкала|Уйташ|04.11.2020 12:23:00|04.11.2020 13:39:00|
QU 3407|Аэробус-A330|398|Сочи|Адлер|Магнитогорск|Магнитогорск|04.11.2020 4:15:00|04.11.2020 5:41:00|
IL 6290|Боинг-777|190|Пермь|Большое Савино|Варандей|Варандей|04.11.2020 11:40:00|04.11.2020 13:48:00|
LN 5175|ИЛ-86|168|Майкоп|Майкоп|Симферополь|Симферополь|04.11.2020 21:47:00|05.11.2020 1:40:00|
EM 1595|ИЛ-86|180|Курумоч|Курумоч|Анадырь|Угольный|04.11.2020 5:57:00|04.11.2020 8:38:00|
DA 3418|Аэробус-A330|373|Благовещенск|Игнатьево|Ставрополь|Шпаковское|04.11.2020 7:34:00|04.11.2020 11:06:00|
HN 7897|ИЛ-96-300|124|Элиста|Элиста|Якутск|Якутск|04.11.2020 13:03:00|04.11.2020 14:54:00|
MP 8093|Сc-100|49|Благовещенск|Игнатьево|Челябинск|Баландино|04.11.2020 23:57:00|05.11.2020 3:31:00|
QW 9928|Боинг-777|116|Чебоксары|Чебоксары|Майкоп|Майкоп|04.11.2020 14:47:00|04.11.2020 16:02:00|
SD 1547|ИЛ-86|289|Ханты - Мансийск|Ханты - Мансийск|Махачкала|Уйташ|04.11.2020 21:05:00|05.11.2020 1:25:00|
NP 3507|Боинг-777|120|Сочи|Адлер|Минеральные Воды|Минеральные Воды|04.11.2020 7:57:00|04.11.2020 11:56:00|
KE 9092|Сc-100|88|Чебоксары|Чебоксары|Саранск|Саранск|04.11.2020 2:34:00|04.11.2020 5:31:00|
YH 7160|Боинг-767|146|Череповец|Череповец|Орск|Орск|04.11.2020 22:23:00|05.11.2020 0:43:00|
VC 7608|Аэробус-A310|141|Братск|Братск|Калуга|Грабцево|04.11.2020 22:49:00|05.11.2020 1:24:00|
JV 9062|Боинг-777|160|Омск|Омск-Центральный|Магнитогорск|Магнитогорск|04.11.2020 13:35:00|04.11.2020 17:32:00|
IW 3759|Аэробус-A320|195|Москва|Домодедово|Майкоп|Майкоп|04.11.2020 2:13:00|04.11.2020 5:42:00|
UQ 8138|ИЛ-86|152|Москва|Домодедово|Архангельск|Талаги|04.11.2020 10:53:00|04.11.2020 15:35:00|
ZS 7242|Ту-154 |86|Пермь|Большое Савино|Нижний Новгород|Стригино|04.11.2020 7:21:00|04.11.2020 11:14:00|
MT 7148|Боинг-747|95|Элиста|Элиста|Череповец|Череповец|04.11.2020 17:26:00|04.11.2020 18:34:00|
ZI 4809|Боинг-747|215|Калуга|Грабцево|Екатеринбург|Кольцово|04.11.2020 20:07:00|05.11.2020 0:42:00|
BR 2644|Аэробус-A330|318|Ульяновск|Баратаевка|Волгоград|Гумрак|04.11.2020 12:13:00|04.11.2020 15:26:00|
GW 8750|Боинг-747|181|Мурманск|Мурманск|Тюмень|Рощино|04.11.2020 21:44:00|05.11.2020 0:47:00|
AF 1798|Ту-154 |112|Южно - Сахалинск|Хомутово|Санкт - Петербург|Пулково|04.11.2020 18:17:00|04.11.2020 21:03:00|
UL 4919|Аэробус-A320|158|Магадан|Сокол|Сыктывкар|Сыктывкар|04.11.2020 17:28:00|04.11.2020 21:13:00|
XI 4433|Боинг-767|247|Астрахань|Нариманово|Калининград|Храброво|04.11.2020 11:07:00|04.11.2020 13:00:00|
JR 9631|ИЛ-96-300|93|Томск|Богашёво|Владивосток|Кневичи|04.11.2020 0:32:00|04.11.2020 4:21:00|
NR 0074|Сc-100|46|Белгород|Белгород|Сыктывкар|Сыктывкар|04.11.2020 3:31:00|04.11.2020 6:04:00|
AP 4149|Боинг-737|105|Курган|Курган|Нальчик|Нальчик|04.11.2020 11:44:00|04.11.2020 14:24:00|
HM 6014|Боинг-767|182|Москва|Шереметьево|Томск|Богашёво|04.11.2020 21:58:00|05.11.2020 1:05:00|
EB 9538|Ту-154 |155|Симферополь|Симферополь|Варандей|Варандей|04.11.2020 14:36:00|04.11.2020 18:21:00|
WZ 8665|ИЛ-86|158|Тюмень|Рощино|Калининград|Храброво|04.11.2020 15:04:00|04.11.2020 18:39:00|
KJ 7955|Сc-100|92|Ульяновск|Восточный|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 22:45:00|05.11.2020 0:12:00|
JK 4889|ИЛ-96|111|Магнитогорск|Магнитогорск|Варандей|Варандей|04.11.2020 18:49:00|04.11.2020 20:29:00|
IJ 2263|ИЛ-96-300|210|Владивосток|Кневичи|Москва|Шереметьево|04.11.2020 4:48:00|04.11.2020 8:04:00|
WA 7288|Боинг-767|168|Элиста|Элиста|Сабетта|Сабетта|04.11.2020 20:58:00|04.11.2020 23:30:00|
JK 1349|Ту-154 |90|Калуга|Грабцево|Оренбург|Оренбург-Центральный|04.11.2020 16:34:00|04.11.2020 18:30:00|
HU 3522|Ту-134|48|Элиста|Элиста|Ярославль|Туношна|04.11.2020 16:08:00|04.11.2020 18:10:00|
BN 6393|ИЛ-62|96|Самара|Самара|Томск|Богашёво|04.11.2020 12:48:00|04.11.2020 17:38:00|
YK 1780|Аэробус-A320|193|Красноярск|Емельяново|Петропавловск - Камчатский|Елизово|04.11.2020 3:26:00|04.11.2020 6:15:00|
HN 0665|Ту-204|98|Благовещенск|Игнатьево|Воронеж|Чертовицкое|04.11.2020 17:54:00|04.11.2020 21:14:00|
II 9948|Аэробус-A330|210|Архангельск|Талаги|Магнитогорск|Магнитогорск|04.11.2020 2:09:00|04.11.2020 3:46:00|
HD 6635|Боинг-767|167|Сургут|Сургут|Магнитогорск|Магнитогорск|04.11.2020 4:59:00|04.11.2020 6:26:00|
QJ 7144|Боинг-767|120|Сыктывкар|Сыктывкар|Магнитогорск|Магнитогорск|04.11.2020 16:22:00|04.11.2020 17:56:00|
UZ 2559|ИЛ-96М|291|Челябинск|Баландино|Курумоч|Курумоч|04.11.2020 14:29:00|04.11.2020 18:52:00|
YQ 0597|Боинг-777|127|Уфа|Уфа|Астрахань|Нариманово|04.11.2020 12:56:00|04.11.2020 17:24:00|
KI 9819|Сc-100|42|Калуга|Грабцево|Владивосток|Кневичи|04.11.2020 7:12:00|04.11.2020 11:19:00|
TS 5091|Аэробус-A310|137|Екатеринбург|Кольцово|Хабаровск|Хабаровск-Новый|04.11.2020 4:16:00|04.11.2020 6:58:00|
VS 7366|Аэробус-A320|206|Курган|Курган|Калининград|Храброво|04.11.2020 14:07:00|04.11.2020 17:18:00|
KU 6987|ИЛ-62|79|Петрозаводск|Петрозаводск|Нижневартовск|Нижневартовск|04.11.2020 18:46:00|04.11.2020 20:13:00|
AO 2447|ИЛ-96М|348|Барнаул|Барнаул|Томск|Богашёво|04.11.2020 9:52:00|04.11.2020 12:39:00|
